nama_variabel,status,tahun,nama_turunan_tahun,jumlah,daerah
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2012,Tahun,-,PAPUA BARAT
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2012,Tahun,1485,PAPUA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Talak dan Cerai,2012,Tahun,346480,INDONESIA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2012,Tahun,-,ACEH
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2012,Tahun,-,SUMATERA UTARA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2012,Tahun,-,SUMATERA BARAT
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2012,Tahun,-,RIAU
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2012,Tahun,-,JAMBI
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2012,Tahun,-,SUMATERA SELATAN
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2012,Tahun,-,BENGKULU
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2012,Tahun,-,LAMPUNG
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2012,Tahun,-,KEP. BANGKA BELITUNG
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2012,Tahun,-,KEP. RIAU
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2012,Tahun,-,DKI JAKARTA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2012,Tahun,11,JAWA BARAT
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2012,Tahun,-,JAWA TENGAH
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2012,Tahun,-,DI YOGYAKARTA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2012,Tahun,-,JAWA TIMUR
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2012,Tahun,-,BANTEN
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2012,Tahun,-,BALI
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2012,Tahun,-,NUSA TENGGARA BARAT
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2012,Tahun,-,NUSA TENGGARA TIMUR
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2012,Tahun,-,KALIMANTAN BARAT
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2012,Tahun,-,KALIMANTAN TENGAH
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2012,Tahun,-,KALIMANTAN SELATAN
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2012,Tahun,-,KALIMANTAN TIMUR
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2012,Tahun,-,KALIMANTAN UTARA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2012,Tahun,-,SULAWESI UTARA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2012,Tahun,-,SULAWESI TENGAH
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2012,Tahun,-,SULAWESI SELATAN
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2012,Tahun,-,SULAWESI TENGGARA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2012,Tahun,-,GORONTALO
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2012,Tahun,-,SULAWESI BARAT
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2012,Tahun,-,MALUKU
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2012,Tahun,-,MALUKU UTARA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2012,Tahun,-,PAPUA BARAT
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2012,Tahun,-,PAPUA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Rujuk,2012,Tahun,11,INDONESIA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2013,Tahun,40478,ACEH
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2013,Tahun,100988,SUMATERA UTARA
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2013,Tahun,44568,SUMATERA BARAT
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2013,Tahun,43811,RIAU
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2013,Tahun,31036,JAMBI
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2013,Tahun,78469,SUMATERA SELATAN
"Jumlah Nikah, Talak dan Cerai, serta Rujuk",Nikah,2013,Tahun,16935,BENGKULU
